,Default = Monthly,,DO NOT TOUCH ROW 1-3,,,,,,,,,,,,,,,,,,,,,,Income Analysis,,,,,,,,,,,DSCR Calculations,,,,
Property Location (w/ Link),CoC,CR,DSCR,Property Value / Negotiated Value,Comments,PSF,Percent Down,Money Down,Loan Amount,Loan Length,Rate,Compound Rate Constant,Mortgage Payments,Taxes Monthly,Tax Property Ratio,Insurance,HOA,Recurring Payments,Property Closing Costs (15k high est),Est. Impr. Cost,Total Investment,Annual Misc. Cost,Ownership Cost,Annual Operating Expenses,Bedrooms/Unit,Rent per Bd/Unit (7% CoC),Rent per Bd/Unit (10% CR),Rent per Bd/Unit (1.2 DSCR),Rent per Bd/Unit (12% CR),Realistic Rent Avg Per Bedroom/Unit,Total Realistic Rent,Net Annual Operating Income,Annual Cash Flow,Annual Cash-On-Cash,Cap Rate,NOI 80%,Annual Mortgage Payments,DSCR (80%),Value for DSCR=1.5,Value for DSCR=1.2
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
,,,,,,,,$0.00,$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,"$15,000.00",,"$15,000.00",$0.00,$0.00,$0.00,,$87.50,$0.01,$0.00,$0.01,,$0.00,$0.00,$0.00,,,$0.00,$0.00,,,
